NB,LATITUDE,LONGITUDE,NAME,NAME_MOD,AUTH_ANC,AUTH_MOD,COUNTRY,AM,PP,RE,BW,QU,MO,CN,SL,SH,PH,CO
62,52.578808,-3.903668,,Pennal might have had a Roman port ? ,,Cleere,UK,m,,,,,,,,,,
63,53.137919,-4.265732,"Segontium, with two lighthouses: Holyhead Mountain (around 30 km NW) and Dinas Dinlle (7.5 km SW) ",Caernarfon,,"Cleere, Christiansen",UK,m,,,,,,,,,X,
64,53.217486,-3.832119,"Canovium, Conovium ",Caerhûn,,Cleere,UK,m,,,,,,,,,,
65,53.346748,-3.409645,,"Prestatyn, West of Liverpool might have had a Roman port ?",,,UK,m,,,,,,,,,,
66,53.252673,-3.129416,port of Deva Victrix ,"Pentre Flint, near Chester",,Cleere,UK,m,,,,,,,,,,
67,53.384103,-2.578481,,"Wilderspool, near Liverpool",,Cleere,UK,m,,,,,,,,,,
68,53.915253,-3.002255,Setantiorum Portus ,"unlocalized near Fleetwood, perhaps at Bourne Hill, perhaps eroded by the sea ?","Ptol, Geogr, 2, 3",,UK,a,,,,,,,,,,
69,54.054178,-2.805228,Calunium ,Lancaster,,Cleere,UK,m,,,,,,,,,,
70,54.083386,-4.438572," Monaoeda, Monobia, Manavia ",Isle of Man,,,UK,m,,,,,,,,,,
71,54.352566,-3.415718,Glannoventa ,Ravenglass,,Cleere,UK,m,,,,,,,,,,
72,54.573062,-3.590878,Gabrosentum ,near Parton,,BAtlas,UK,m,,,,,,,,,,
73,54.660150,-3.571636,Magis ,Workington,,BAtlas,UK,m,,,,,,,,,,
74,54.720654,-3.493931,"Alauna, Alione ","Maryport, on the Firth of Solway near the west end of Hadrien's wall",,Cleere,UK,m,,,,,,,,,,
75,54.813776,-3.442960,"Bibra, Bribra ",near Mawbray ?,,BAtlas,UK,m,,,,,,,,,,
76,54.955173,-3.212298,Maia ,near Bowness-on-Solway ?,,BAtlas,UK,m,,,,,,,,,,
77,54.933833,-3.134855,Congavata ? ,near Drumburgh ?,,BAtlas,UK,m,,,,,,,,,,
78,54.927372,-3.832843,,"Dalbeattie, on the Firth of Solway might have had a Roman port ?",,,UK,m,,,,,,,,,,
79,55.612490,-5.258440, Clota in Hiverione ,"Isle of Arran, in the Firth of Clyde near Glasgow","Antonine, Itin Mar",,UK,a,,,,,,,,,,
80,43.340007,-1.787856,"Oiasso, Olarso, Oeason, Oyarzun ","Estuary of R Bidasoa, Irun","Strabo, Geogr, 3, 4",,Spain North,a,,r,,X,,,,,,
81,43.404148,-2.696571,,Portuondo ,,BAtlas,Spain North,m,,,,,,,,,,
82,43.382168,-3.206565,"Flaviobriga, Portus Amanum, Port of the Amanes",Castro Urdiales,"Pliny, Hist Nat, 4, 34",,Spain North,a,,,,,,,,,,
83,43.448146,-3.826714,"Portus Victrix, Portus Victoriae Iuliobrigensium, Port of Juliobrigiens' Victory",Santander,"Pliny, Hist Nat, 4, 34",CG,Spain North,a,,,,,,,,,,
84,43.442708,-4.037401,Portus Blendium ,Suances,"Pliny, Hist Nat, 4, 34",,Spain North,a,,,,,,,,,,
85,43.395049,-4.380770,Portus Veseasueca ,San Vicente de la Barquera,"Pliny, Hist Nat, 4, 34",,Spain North,a,,,,,,,,,,
86,43.544420,-5.652023,Gigia ,Gijon,,BAtlas,Spain North,m,,,,,,,,,,
87,43.570164,-5.703103,"Noega, with lighthouse Torre Augusto ","Gijon, Campa Torres",,"BAtlas, Christiansen",Spain North,m,,r,,,,,,,X,
88,43.505312,-6.097233,Flavionavia ,near Pravia,,BAtlas,Spain North,m,,,,,,,,,,
89,43.692323,-7.582917,Starbanhom ,"Roman villa with a port near Playa de Area, Viveiro",,Roberto Reigosa Mendez,Spain North,m,,r,,X,,,,,,
90,43.735507,-7.699795,"Portus Artaboi, Port of the Artabres ",Bares,"Strabo, Geogr, 3, 3 ; Ptol, Geogr, 2, 6",Macineira (1947) ,Spain North,a,,,,,,,,,,
90.1,43.476774,-8.255077,,El Ferrol,,AdG,Spain North,m,p,,,,,,,,,
91,43.368231,-8.396896,Brigantum and its famous ancient lighthouse Torre Hercules,"La Coruna, Corogna, Corogne",,"Blackman, Christiansen",Spain North,m,,r,,,,,,,X,
92,43.251118,-8.903292,Castellum Aviliobris ,near Ponteceso,,BAtlas,Spain North,m,,,,,,,,,,
92.1,43.132356,-9.172238,,Camarinas,,AdG,Spain North,m,p,,,,,,,,,
93,42.917457,-9.251560,"Portus Artaboi, Port of the Artabres ",Finisterre,"Strabo, Geogr, 3, 3 ; Ptol, Geogr, 2, 6",BAtlas,Spain North,a,,,,,,,,,,
94,42.781443,-8.891668,"Portus Ebora, Noouion ",Noia in the Ria de Muros y Noya,"Mela, Geogr, 3, 2",,Spain North,a,,,,,,,,,,
95,42.711130,-9.020907,,Castro Barona ,,BAtlas,Spain North,m,,,,,,,,,,
96,42.675720,-8.726651,"Turris Augusti, Torres del Oeste ","Catoira, Pontevedra",,de la Pena,Spain North,m,,,,,,,,,,
96.1,42.487487,-8.844113,,Isla Toxa Grande,,AdG,Spain North,m,p,,,,,,,,,
97,42.431958,-8.881260,,A Lanzada ,,BAtlas,Spain North,m,,,,,,,,,,
97.1,42.436096,-8.647116,Turoqua,Pontevedra,,,Spain North,m,p,,,,,,,,,
97.2,42.303984,-8.637750,,Ensenada de San Simon,,AdG,Spain North,m,p,,,,,,,,,
98,42.247423,-8.717793,Vicus Spacorum ,Vigo,,BAtlas,Spain North,m,,,,,,,,,,
99,41.880870,-8.855819,estuary of R Mino ,La Guardia-Pontevedra,"Strabo, Geogr, 3, 3",de la Pena,Spain North,a,,,,,,,,,,
100,41.868573,-8.852140,"R Baenis, Minius, navigable","R Mino, Minho, near Caminha and further upstream","Strabo, Geogr, 3, 3",,Portugal,a,p,,,,,,,,,
101,41.688542,-8.834348,"R Lethe, R Limeas, R Oblivio",Viana do Castelo on the R Lima ,,Pinheiro-Blot,Portugal,m,p,,,,,,,,,
102,41.536397,-8.796086,,Esposende on the R Cavado ,,Pinheiro-Blot,Portugal,m,,,,,,,,,,
103,41.335021,-8.753453,,Vila do Conde on the R Ave ,,Pinheiro-Blot,Portugal,m,,,,,,,,,,
104,41.141823,-8.658721,"Portus Galum, Portus Cale, estuary of R Douro ",Porto,,de la Pena,Portugal,m,,,,,,,,,,
105,41.146507,-8.637420,"R Durius, navigable",Douro,"Strabo, Geogr, 3, 3",,Portugal,a,,,,,,,,,,
106,40.633151,-8.470014,Talabriga ,"Marnel at Lamas do Vouga, near Aveiro",,Pinheiro-Blot,Portugal,m,,,,,,,,,,
107,40.205265,-8.429767,Aeminium on the R Mondego ,Coimbra,,Pinheiro-Blot,Portugal,m,,,,,,,,,,
108,40.099665,-8.494551,Conimbriga ,between Figueira da Foz and Coimbra,,Pinheiro-Blot,Portugal,m,,,,,,,,,,
109,39.582659,-9.040373,,"Lagoa de Pederneira, near Nazaré, Alcobaça ",,Pinheiro-Blot,Portugal,m,,,,,,,,,,
110,39.510693,-9.137873,,"Alfeizerao, near Sao Martinho do Porto",,Pinheiro-Blot,Portugal,m,p,,,,,,,,,
111,39.407020,-9.208855,Eburobrittium ,Obidos,,Pinheiro-Blot,Portugal,m,,,,,,,,,,
112,39.355900,-9.378173,,Peniche ,,Pinheiro-Blot,Portugal,m,p,,,,,,,,,
113,39.256949,-9.343581,,Lourinha ,,Pinheiro-Blot,Portugal,m,,,,,,,,,,
114,39.108058,-9.407069,,Torres Vedras on the R Sizandro ,,Pinheiro-Blot,Portugal,m,,,,,,,,,,
115,38.702488,-9.122201,"Olisipo, Oliosipon ","Lisbon, estuary of R Tage","Strabo, Geogr, 3, 3",,Portugal,a,p,,,,,,,,,
116,38.788791,-9.083167,,Sacavem ,,Pinheiro-Blot,Portugal,m,,,,,,,,,,
117,38.957058,-8.975698,,"Povos, at Vila Franca de Xira on the R Tage ",,Pinheiro-Blot,Portugal,m,,,,,,,,,,
118,38.611187,-9.053645,"Abona, Aquabona ",near Coina,,BAtlas,Portugal,m,,,,,,,,,,
118.1,38.644219,-9.107602,,Seixal,,AdG,Portugal,m,p,,,,,,,,,
119,38.673213,-9.137968,,Almada ,,Pinheiro-Blot,Portugal,m,,,,,,,,,,
120,38.416065,-9.216196,"Promontorium Barbarium, Pirgo Barbarion and its ancient lighthouse ","Cape Espichel, South of the estuary of R Tage",,de la Pena,Portugal,m,,,,,,,,,,
121,38.511223,-8.891550,Caetobriga ,Setubal,,BAtlas,Portugal,m,p,,,,,,,,,
122,38.367871,-8.514263,"Salacia, Abul ","Alcacer do Sal, upstream of Setubal on the R Sado","Strabo, Geogr, 3, 3",Carayon,Portugal,a,,,,,,,,,,
123,38.495823,-8.902507,,Troia ,,BAtlas,Portugal,m,p,,,,,,,,,
124,37.952474,-8.870463,Sinus,Sines ,,BAtlas,Portugal,m,p,,,,,,,,,
125,37.721376,-8.786403,Patulus portus ,Vila Nova de Milfontes ?,,BAtlas,Portugal,m,p,,,,,,,,,
126,37.103291,-9.083454,"Paetanion, Paetion, Anion ",island ? in Algarve,"Avienus, Ora Maritima",,Portugal,a,,,,,,,,,,
127,37.012271,-9.119122,"Atlantis, Atlantide ","mythical site located by Plato beyond the Pillars of Hercules and by Diodore at several days of navigation near West Afrika, but the location of this island is still much debated (perhaps somewhere between R Guadiana and R Guadalquivir in the Tartessos country, some locate it at Nea Kameni on Santorini island)","Solon mentioned by Plato, Timée & Critias ; Diodorus, Hist, 5, 15",,Portugal,a,,,,,,,,,,
128,36.995109,-8.941947,Sacred Promontary,"Sagres, near Cape San Vincente","Strabo, Geogr, 3, 1",,Portugal,a,,,,,,,,,,
129,37.094423,-8.661373,Lacobriga ,Lagos ?,,BAtlas,Portugal,m,p,,,,,,,,,
130,37.129378,-8.598521,"Ipses, Portus Hannibalis ? ",Alvor,,Pinheiro-Blot,Portugal,m,p,,,,,,,,,
131,37.123097,-8.525071,"Portus Hannibalis, Port of Annibal ","Portimao, Algarve","Mela, Geogr, 3, 1",CG,Portugal,a,p,,,,,,,,,
131.1,37.080139,-8.120700,,"Cerro da Vila, Vilamoura",,AdG,Portugal,m,p,,,,,,,,,
132,37.012677,-7.936769,Ossonoba ,Faro,"Strabo, Geogr, 3, 2",,Portugal,a,p,,,,,,,,,
132.1,37.033446,-7.812116,,Olhao,,AdG,Portugal,m,p,,,,,,,,,
133,37.076532,-7.707139,Balsa ,"Torre d’Aires, near Luz de Tavira",,BAtlas,Portugal,m,,,,,,,,,,
133.1,37.126610,-7.649504,,Tavira,,AdG,Portugal,m,p,,,,,,,,,
134,37.218912,-7.441504,"Baesuris, Esuris ","Castro Marim, on R Guadiana, navigable","Strabo, Geogr, 3, 2",,Portugal,a,,,,,,,,,,
134.1,37.206216,-7.327774,,Isla Cristina,,AdG,Spain South,m,p,,,,,,,,,
134.2,37.214239,-7.125718,,El Rompido,,AdG,Spain South,m,p,,,,,,,,,
135,37.254237,-6.963233,"Onuba, Tartessos?",Huelva,"Strabo, Geogr, 3, 2",BAtlas,Spain South,a,,,,,,,,,,
136,37.363020,-6.680405,"Ilipula, Ilipla minor ",Niebla,,BAtlas,Spain South,m,,,,,,,,,,
137,37.308446,-6.255266,Olontigi ,Aznalcazar ?,,BAtlas,Spain South,m,,,,,,,,,,
138,37.290481,-6.054497,Caura ,Coria del Rio,,BAtlas,Spain South,m,,,,,,,,,,
139,37.312853,-6.052992,,Palomares del Rio ,,BAtlas,Spain South,m,,,,,,,,,,
140,37.356791,-6.041858,Osset ,San Juan de Aznalfarache,,BAtlas,Spain South,m,,,,,,,,,,
141,37.392088,-6.039557,,El Carambolo ,,BAtlas,Spain South,m,,,,,,,,,,
142,37.388205,-5.990519,Hispalis ,"Sevilla, on the R Guadalquivir","Strabo, Geogr, 3, 2",,Spain South,a,,,,,,,,,,
143,37.441289,-6.046355,Italica ,Santiponce,,BAtlas,Spain South,m,,,,,,,,,,
144,37.517104,-5.976196,Ilipa magna ,"Alcala del Rio, on the R Guadalquivir","Strabo, Geogr, 3, 2",,Spain South,a,,,,,,,,,,
145,37.274132,-6.004301,Orippo ,"Torre de los Herberos, at Dos Hermanas",,BAtlas,Spain South,m,,,,,,,,,,
146,37.137498,-5.892528,,Maribanez ,,BAtlas,Spain South,m,,,,,,,,,,
147,36.931378,-6.079337,Nabrissa Veneria ,"Lebrija, on the R Guadalquivir ","Strabo, Geogr, 3, 1 & 3.2",,Spain South,a,,,,,,,,,,
148,36.888437,-6.288574,"Conobaria, Colobana ",Las Cabezas de San Juan,,BAtlas,Spain South,m,,,,,,,,,,
149,36.787807,-6.177330,Asta Regia ,"Mesas de Asta, 11 km North of Jerez","Strabo, Geogr, 3, 1 & 3, 2",,Spain South,a,,,,,,,,,,
150,36.783681,-6.366046,"Aipora, Ebora ",near Sanlucar de Barrameda,,BAtlas,Spain South,m,,,,,,,,,,
151,36.737989,-6.442404,"Pirgo Caepino, Tower (ancient lighthouse ?)","Chipiona, on the South bank of the outlet of R Guadalquivir","Strabo, Geogr, 3, 1 ; Mela, Geogr, 3, 1","de la Pena, Christiansen",Spain South,a,,,,,,,,,,
151.1,36.619393,-6.351295,"Astaroth, Speculum Rotae",Rota,,,Spain South,m,,,,,,,,,,
152,36.607668,-6.462312,"Cimbis, Cimbios "," ? near Gadès, perhaps near Rota ?","Livy, Hist, 28, 37",BAtlas,Spain South,a,,,,,,,,,,
153,36.593233,-6.225933,"Portus Menesthei, Portus Menesteus, port of Ménésthée ","probably Puerto Santa Maria, at the outlet of R Guadalete","Strabo, Geogr, 3, 1 ; Ptol, Geogr, 2, 4 ; Marcian, Peripl, 2, 9",BAtlas locates it on the rocks at 2.5 km West of the ancient lighthouse of Caepion,Spain South,a,,,,,,,,,,
154,36.627211,-6.159878,Portus Gaditanus ,"Castillo de Doña Blanca, on the R Guadalete, which moved southwards","Mela, Geogr, 3, 1","Carayon, de la Pena",Spain South,a,,,,,,,,,,
155,36.530112,-6.199803,Chantier naval de Puerto Real ,in the Bay of Cadix,,de la Pena,Spain South,m,,,,,,,,,,
156,36.472302,-6.217409,"Tartessos, Tartessus  , Tarsis ","Isle of Leon at San Fernando ? The R Guadalquivir is called R Baetis by the Romans and R Tartessos by the Phenicians before them. Tartessos is also the name of an ancient tribe who lived in this area of Huelva-Sevilla-Cadix. The ancient city of Tartessos is located with some uncertainty on the present Isle of Leon at San Fernando, South of the bay of Cadix. This island was once detached from the coast. However, Avienus indicates in his Ora Maritima That Tartessus is the ancient name of Gaddir. Pliny the Elder locates Tartessos at Carteia the the Bay of Algesiras (Nat Hist, 3, 3). Some believe it is Huelva.","Herodotus, Hist, 1, 163 & 4, 152 ; Avienus, Ora Maritima ; Bible, Isaïe, 60,9",de la Pena,Spain South,a,,,,,,,,,,
157,36.532133,-6.290083,"Gadir, Gadira, Gadès, Erytheia, Eriteia and its ancient lighthouse","Cadix, ancient canal of Bahia-Caleta. Initially, Gadir was an island as indicated by Strabo who speaks about « the Isle of the gaditans » (Geogr, 3, 2)","Caesar, Guerre d’Espagne, 37 ; Strabo, Geogr, 3, 5 ; Diodorus, Hist, 25 ; Avienus, Ora Maritima ; Scylax, Peripl","Carayon, de la Pena",Spain South,a,,,,,,,,,,
157.1,36.397146,-6.206802,,Sancti-Petri,,AdG,Spain South,m,p,,,,,,,,,
158,36.276535,-6.112723,"Mercablum, Merifabion ",near Conil de la Frontera,,BAtlas,Spain South,m,,,,,,,,,,
159,36.183199,-6.035151,"ancient lighthouse of Promontorium Junonis, Promontory of Juno",Cape Trafalgar,,,Spain South,m,,,,,,,,,,
160,36.190887,-5.914238,"Baesippo, Port Besippon ",Barbate,"Pliny, Hist Nat, 3, 3",,Spain South,a,,,,,,,,,,
161,36.090764,-5.773882,"Baelo Claudia, Belone ","Bolonia, 22 km West of Tarifa","Strabo, Geogr, 3, 1 ; Antonine, Itin Mar","de la Pena, Flemming",Spain South,a,,,,,,,,,,
162,36.070735,-5.689850,"Mellaria, Menlaria ","Valdevaqueros, uncertain location near the estuary of R Valle","Strabo, Geogr, 3, 1",,Spain South,a,,,,,,,,,,
163,36.005795,-5.606277,"Iulia Traducta or Transducta, Iulia Ioza, Tingentera ",Tarifa,"Mela, Geogr, 2, 6",Carayon,Spain South,a,,,,,,,,,,
164,36.090959,-5.438414,Cetaria ,Getares,,BAtlas,Spain South,m,,,,,,,,,,
165,36.127332,-5.443264,Portus Albus ,"Algesiras, on Rio de la Miel",,"de la Pena, CG",Spain South,m,,,,,,,,,,
166,36.183212,-5.410312,"Carteia, Calpe, Karpessos ","Carteya, outlet of R Guadarranque in the bay of Algesiras","Strabo, Geogr, 3, 1 ; Livy, Hist, 28, 30 ; Avienus, Ora Maritima","Carayon, de la Pena, BAtlas, Flemming",Spain South,a,,,,,,,,,,
167,36.193660,-5.421649,,"Cerro del Prado, 2 km upstream of the outlet of R Guadarranque in the bay of Algesiras",,Carayon,Spain South,m,,,,,,,,,,
168,36.286944,-5.286866,"Barbesula, Barbariana ","Casa de Montilla, on the estuary of R Guadiaro",,"Carayon, Flemming",Spain South,m,,,,,,,,,,
169,36.371504,-5.220355,Lacipo ,"Alechipe, near Marina de Casares",,,Spain South,m,,,,,,,,,,
170,36.449093,-5.055696,"Salduba, Saltum ","Torreón, on the estuary of R Guadalmansa",,Carayon,Spain South,m,,,,,,,,,,
171,36.472052,-4.990197,Cilniana ,"Basilica Vega del Mar, at San Pedro de Alcantara",,"Flemming, BAtlas",Spain South,m,,,,,,,,,,
172,36.525691,-4.628938,Suel ,"Cerro del Castillo, on the estuary of R Fuengirola",,"Carayon, Flemming",Spain South,m,,,,,,,,,,
173,36.666785,-4.446886,Cerro del Villar ,estuary of R Guadalorce near the airport of Malaga,,Carayon,Spain South,m,,,,,,,,,,
174,36.707264,-4.425838,Malaga ,estuary of R Guadalmina,"Avienus, Ora Maritima","Carayon, de la Pena, Flemming",Spain South,a,,,,,,,,,,
175,36.736370,-4.114728,"Mainake, Moenace, Maenacé ","Toscanos, 1.5 km upstream the R Velez, near Velez-Malaga","Avienus, Ora Maritima","Carayon, Flemming",Spain South,a,,r,,X,,,,,,
176,36.737579,-4.108717,"Mainake, Moenace, Maenacé ","Cerro del Mar, at the outlet of R Velez,  near Velez-Malaga","Avienus, Ora Maritima","Carayon, Flemming",Spain South,a,,,,,,,,,,
177,36.743022,-4.050901,"Maenoba, Mainobora ","Morro de Mezquitilla and Trayamar, at the outlet of R Algarrobo","Strabo, Geogr, 3, 2","Carayon, Flemming",Spain South,a,,,,,,,,,,
178,36.722487,-3.956340,Caviclum ? ,Faro de Torrox,,BAtlas,Spain South,m,,,,,,,,,,
179,36.726468,-3.691359,"Ex, Sexi, Saxetanum ",Almuñecar,,"Carayon, de la Pena, BAtlas, Flemming",Spain South,m,,,,,,,,,,
180,36.733567,-3.595057,"Selambina, Salmbina ",Salobrena,,BAtlas,Spain South,m,,,,,,,,,,
181,36.740317,-3.014821,"Abdera, Abdara ","Cerro de Montecristo, Adra",,"Carayon, Flemming",Spain South,m,,,,,,,,,,
182,35.948991,-3.032515, Erroris ,"Isle of Alboran, due South of Adra","Antonine, Itin Mar","Flemming, BAtlas locates Error on the Algerian coast West of the Isle of Paloma",Spain South,a,,,,,,,,,,
183,35.942387,-2.909257, Tauria , ?? at 13 km of Alboran,"Antonine, Itin Mar","BAtlas locates Tauria  on the Algerian coast in front of Castra Puerum, Isles of Habibas",Spain South,a,,,,,,,,,,
184,36.744226,-2.593296,Murgi ,"Roquetas de Mar, Laja de palo, Almeria",,Flemming,Spain South,m,,,,,,,,,,
185,36.816541,-2.474547,"Portos Magnos, port of Urci ",Almeria,"Ptol, Geogr, 2, 4","de la Pena, CG, BAtlas",Spain South,a,,,,,,,,,,
186,37.242576,-1.771915,Baria ,"Villaricos, on the estuary of R Almanzora",,"Carayon, Flemming",Spain East,m,,,,,,,,,,
